Active,positive,Crude.Rate,negativeIncrease,mean_winter_temp,totalTestResultsIncrease,population,mean_summer_temp,pct_white,Lat,mean_summer_rm,popdensity,older_percent,mean_winter_rm,Long_,population_frac_county,negative,medianhousevalue,totalTestResults,pct_asian,deathIncrease,hospitalizedIncrease,hispanic,pct_owner_occ,Province_State,education,poverty,pct_blk,pct_native,q_popdensity,mean_pm25,positiveIncrease,totalTestResults_county,Last_Update,Confirmed,medhouseholdincome
45,7725,859.3,0,288.085090873133,291,53708,306.02345097939303,0.7083645194545091,32.53952745,96.055417473832,201.040355,0.11938264024074198,85.6518449946085,-86.64408227,0.0111147004889533,84775,105021.111111111,92500,0.00400508496429516,2,12,0.016284779941299,0.771370735338628,Alabama,0.28612642592202103,0.0455705700387326,0.263015816983277,0.00169822279422797,3,11.712587053239698,291,1028.10979522818,0,48,46433.8333333333
183,7725,976.2,0,290.208860774719,291,199123,305.516633201269,0.8667988613612769,30.72774991,97.97154375054208,217.41562652381,0.16957354598025598,89.73097231091141,-87.72207058,0.0412078741614256,84775,158367.158730159,92500,0.0041912620334484205,2,12,0.0311283815996004,0.7846189376662429,Alabama,0.17448467876409,0.0942269350720793,0.0973848085832984,0.0101380837774121,3,10.077723050925501,291,3811.7283599318603,0,187,45903.3777777778
44,7725,1040.9,0,289.242107243474,291,25303,306.062248559024,0.485012532710117,31.868263,97.3716748161449,33.8891,0.143295504164146,88.6335717103514,-85.3871286,0.00523637570700799,84775,82200.0,92500,0.002031835091488,2,12,0.0397049871807199,0.696278375282179,Alabama,0.3966941283456,0.210081479152233,0.47478774905705295,0.0015761889507335,2,10.981967054714401,291,484.364752898239,0,45,33020.25
43,7725,1028.8,0,287.362832468956,291,22696,305.982177012146,0.850112064224997,32.99642064,96.2930769394653,39.08677925,0.129413540644577,86.4858661148299,-87.12511459999999,0.0046968653142415205,84775,99318.5617656931,92500,0.000533536585365854,2,12,0.0583608334677453,0.803954704234745,Alabama,0.269033389522312,0.09138928615169,0.133431041578065,0.00618591905041561,2,11.9987147303031,291,434.460041567341,0,43,43257.0
40,7725,993.7,0,285.56567573175,291,44029,305.17886460922904,0.971844783030692,33.98210918,94.63094867782742,282.15191125,0.146497702828283,85.4491387986955,-86.56790593,0.00911166209555605,84775,103779.41176470599,92500,0.00150083627593351,2,12,0.178954015466602,0.700121814378787,Alabama,0.35616508427295296,0.0864050889084458,0.00983120864995819,0.00294057131154097,4,11.793022535048198,291,842.828743838934,0,40,41491.0833333333
14,7725,1166.6,0,288.691328835099,291,10903,305.867718802397,0.168215034343472,32.10030533,97.1384204608283,14.49910325,0.139568192400348,89.16812250151578,-85.71265535,0.00225634131658333,84775,87500.0,92500,0.00407734092016101,2,12,0.00043143501924864,0.809504912104861,Alabama,0.5502045487599679,0.273640798296164,0.8010960441492081,0.00029868578255675,1,11.3135567572804,291,208.71157178395802,0,14,32392.0
104,7725,1332.4,0,289.319950128422,291,19848,306.15849235986303,0.598256782691651,31.75300095,97.11739970401399,18.36076575,0.16869008901633098,88.41467890977921,-86.68057478,0.00410748073480198,84775,63750.0,92500,0.0036663776910851,2,12,0.0058851412280735,0.782217586723808,Alabama,0.23042759075757802,0.13612481590446002,0.387741861716391,0.0013225674934774,1,10.8041461102477,291,379.94196796918294,0,105,32453.25
102,7725,1170.5,0,286.032286723183,291,108488,305.106978399561,0.785711105068465,33.77483727,96.3851336542368,333.254175,0.146201343136319,86.5853634600088,-85.82630386,0.0224512479825271,84775,127720.0,92500,0.008144198558638,2,12,0.0362680450992991,0.725282788334407,Alabama,0.22031388435687,0.10819963299974199,0.161796096816796,0.004126934913405,4,12.306849769718198,291,2076.74043838375,0,105,46977.2
279,7725,1325.2,0,287.581219682084,291,39200,305.667352569565,0.6061140469216011,32.91360079,96.2372096279773,88.0921583333333,0.167642568620591,87.7675987052216,-85.39072749,0.00811231584060044,84775,102733.33333333301,92500,0.0151310682346025,2,12,0.003915305539548279,0.748886892209286,Alabama,0.33416556093428007,0.140610681676934,0.361951031499036,0.0034377458015093,3,11.4230826565496,291,750.3892152555409,0,300,37719.0
16,7725,1204.9,0,285.222569617883,291,34226,305.25672086733397,0.9354125094035991,34.17805983,96.0380888418939,56.265643999999995,0.179540576676108,87.75722353775811,-85.60638968,0.00708296229490793,84775,105260.0,92500,0.0043378216510527,2,12,0.0201368200340992,0.787454960970677,Alabama,0.292013899273056,0.13530672297490098,0.0438478848627214,0.00403571678810064,2,12.176334431637098,291,655.174012278983,0,16,38159.0
56,7725,1069.1,0,287.445411859943,291,38748,305.770240795932,0.821421069841609,32.85044126,95.93478176445721,65.15430714285719,0.137403368476839,85.8808447692726,-86.7173256,0.00801877587223434,84775,96142.8571428572,92500,0.00228717622911527,2,12,0.0462378083992565,0.798135636837696,Alabama,0.24075878649604998,0.15880544944724698,0.137348437941302,0.00262004785909195,3,11.8899267421764,291,741.736768181676,0,57,43070.5714285714
49,7725,1191.6,0,289.002435145901,291,13094,306.610630647453,0.5790146203544511,32.02227341,96.9137359650746,13.154105300000001,0.17567598968297596,88.2048992779755,-88.26564429999999,0.00270976182695975,84775,54907.1577649608,92500,0.00152671755725191,2,12,0.0017754318618042198,0.804444665453882,Alabama,0.445750970942109,0.17640851648750197,0.41366405776719606,0.000245398773006135,1,10.419295611172402,291,250.652968993777,0,49,31159.428571428598
41,7725,1094.3,0,289.541421286965,291,25548,306.539889641328,0.5687800350895781,31.68099859,97.061486060679,24.5766242222222,0.15492069671784303,87.3819565145343,-87.83548597,0.0052870776810117395,84775,69837.7777777778,92500,0.00159737279256001,2,12,0.0009360292409635189,0.690823690789655,Alabama,0.25913557978282703,0.13468951935394502,0.4230916102713879,0.00014510424729574599,2,10.589687393255,291,489.05468549358596,0,42,26443.685714285697
21,7725,1304.7,0,286.391882941875,291,17429,304.660400182966,0.8674859564007099,33.26984193,97.4825176103129,33.8427466666667,0.177267143176234,87.7888865777895,-85.85836077,0.0036068763465771704,84775,76100.3433122769,92500,0.0,2,12,0.0319084772576878,0.681319585307298,Alabama,0.43389115898434205,0.29983574588070194,0.11752177054203801,0.0039142605219371,2,11.3761869637611,291,333.636062058388,0,22,36142.0
11,7725,1165.6,0,285.915957995259,291,14465,304.42285678677104,0.964290177927452,33.67679204,97.68286990442492,36.1045425,0.15687730370448902,87.9129431827676,-85.52005899,0.0029934859345481,84775,93300.0,92500,0.00599996873029296,2,12,0.007948921087040659,0.769858908279398,Alabama,0.413779809755042,0.129743029540788,0.0154973264184761,0.000623663578047043,2,11.362884688823302,291,276.897448945699,0,12,39794.25
130,7725,1001.6,0,289.712874714421,291,51841,306.13113735207696,0.8302643174166671,31.39932826,97.28072164500799,87.203352,0.14915354714334603,87.3100007724567,-85.98901039,0.0107283307523614,84775,102460.0,92500,0.0107301034634875,2,12,0.0398486210106222,0.729621424310119,Alabama,0.26622436883836603,0.0715277891336603,0.0983817377579649,0.0275294859295353,3,10.916880311605802,291,992.370594593431,0,130,42147.0
